Date,Open,High,Low,Close,Volume
10/2/25,256.58,258.18,254.15,257.13,42630240
10/1/25,255.04,258.79,254.93,255.45,48713940
9/30/25,254.86,255.92,253.11,254.63,37704260
9/29/25,254.56,255.00,253.01,254.43,40127690
9/26/25,254.10,257.60,253.78,255.46,46076260
9/25/25,253.21,257.17,251.71,256.87,55202080
9/24/25,255.22,255.74,251.04,252.31,42303710
9/23/25,255.88,257.34,253.58,254.43,60275190
9/22/25,248.30,256.64,248.12,256.08,105517400
9/19/25,241.23,246.30,240.21,245.50,163741300
9/18/25,239.97,241.20,236.65,237.88,44249580
9/17/25,238.97,240.10,237.73,238.99,46508020
9/16/25,237.18,241.22,236.32,238.15,63421100
9/15/25,237.00,238.19,235.03,236.70,42699520
9/12/25,229.22,234.51,229.02,234.07,55824220
9/11/25,226.88,230.45,226.65,230.03,50208580
9/10/25,232.19,232.42,225.95,226.79,83440810
9/9/25,237.00,238.78,233.36,234.35,66313920
9/8/25,239.30,240.15,236.34,237.88,48999500
9/5/25,240.00,241.32,238.49,239.69,54870400
9/4/25,238.45,239.90,236.74,239.78,47549430
9/3/25,237.21,238.85,234.36,238.47,66427840
9/2/25,229.25,230.85,226.97,229.72,44075640
8/29/25,232.51,233.38,231.37,232.14,39418440
8/28/25,230.82,233.41,229.34,232.56,38074700
8/27/25,228.61,230.90,228.26,230.49,31259510
8/26/25,226.87,229.49,224.69,229.31,54575110
8/25/25,226.48,229.30,226.23,227.16,30983130
8/22/25,226.17,229.09,225.41,227.76,42477810
8/21/25,226.27,226.52,223.78,224.90,30621250
8/20/25,229.98,230.47,225.77,226.01,42263870
8/19/25,231.28,232.87,229.35,230.56,39402560
8/18/25,231.70,233.12,230.11,230.89,37476190
8/15/25,234.00,234.28,229.34,231.59,56038660
8/14/25,234.06,235.12,230.85,232.78,51916280
8/13/25,231.07,235.00,230.43,233.33,69878550
8/12/25,228.01,230.80,227.07,229.65,55672300
8/11/25,227.92,229.56,224.76,227.18,61806130
8/8/25,220.83,231.00,219.25,229.35,113854000
8/7/25,218.88,220.85,216.58,220.03,90224830
8/6/25,205.63,215.38,205.59,213.25,108483100
8/5/25,203.40,205.34,202.16,202.92,44155080
8/4/25,204.51,207.88,201.68,203.35,75109300
8/1/25,210.87,213.58,201.50,202.38,104434500
7/31/25,208.49,209.84,207.16,207.57,80698430
7/30/25,211.90,212.39,207.72,209.05,45512510
7/29/25,214.18,214.81,210.82,211.27,51411720
7/28/25,214.03,214.85,213.06,214.05,37858020
7/25/25,214.70,215.24,213.40,213.88,40268780
7/24/25,213.90,215.69,213.53,213.76,46022620
7/23/25,215.00,215.15,212.41,214.15,46989300
7/22/25,213.14,214.95,212.23,214.40,46404070
7/21/25,212.10,215.78,211.63,212.48,51377430
7/18/25,210.87,211.79,209.70,211.18,48974590
7/17/25,210.57,211.80,209.59,210.02,48068140
7/16/25,210.30,212.40,208.64,210.16,47490530
7/15/25,209.22,211.89,208.92,209.11,42296340
7/14/25,209.93,210.91,207.54,208.62,38840110
7/11/25,210.57,212.13,209.86,211.16,39765810
7/10/25,210.51,213.48,210.03,212.41,44443640
7/9/25,209.53,211.33,207.22,211.14,48749370
7/8/25,210.10,211.43,208.45,210.01,42848930
7/7/25,212.68,216.23,208.80,209.95,50228980
7/3/25,212.15,214.65,211.81,213.55,34955840
7/2/25,208.91,213.34,208.14,212.44,67941810
7/1/25,206.67,210.19,206.14,207.82,78788870
6/30/25,202.01,207.39,199.26,205.17,91912820
6/27/25,201.89,203.22,200.00,201.08,73188570
6/26/25,201.43,202.64,199.46,201.00,50799120
6/25/25,201.45,203.67,200.62,201.56,39525730
6/24/25,202.59,203.44,200.20,200.30,54064030
6/23/25,201.63,202.30,198.96,201.50,55814270
6/20/25,198.24,201.70,196.86,201.00,96813540
6/18/25,195.94,197.57,195.07,196.58,45394690
6/17/25,197.20,198.39,195.21,195.64,38856150
6/16/25,197.30,198.69,196.56,198.42,43020690
6/13/25,199.73,200.37,195.70,196.45,51447350
6/12/25,199.08,199.68,197.36,199.20,43904640
6/11/25,203.50,204.50,198.41,198.78,60989860
6/10/25,200.60,204.35,200.57,202.67,54672610
6/9/25,204.39,206.00,200.02,201.45,72862560
6/6/25,203.00,205.70,202.05,203.92,46607690
6/5/25,203.50,204.75,200.15,200.63,55221240
6/4/25,202.91,206.24,202.10,202.82,43603990
6/3/25,201.35,203.77,200.96,203.27,46381570
6/2/25,200.28,202.13,200.12,201.70,35423290
5/30/25,199.37,201.96,196.78,200.85,70819940
5/29/25,203.58,203.81,198.51,199.95,51477940
5/28/25,200.59,202.73,199.90,200.42,45339680
5/27/25,198.30,200.74,197.43,200.21,56288480
5/23/25,193.67,197.70,193.46,195.27,78432920
5/22/25,200.71,202.75,199.70,201.36,46742410
5/21/25,205.17,207.04,200.71,202.09,59211770
5/20/25,207.67,208.47,205.03,206.86,42496640
5/19/25,207.91,209.48,204.26,208.78,46140530
5/16/25,212.36,212.57,209.77,211.26,54737850
5/15/25,210.95,212.96,209.54,211.45,45029470
5/14/25,212.43,213.94,210.58,212.33,49325830
5/13/25,210.43,213.40,209.00,212.93,51909330
5/12/25,210.97,211.27,206.75,210.79,63775810
5/9/25,199.00,200.54,197.54,198.53,36453920
5/8/25,197.72,200.05,194.68,197.49,50478870
5/7/25,199.17,199.44,193.25,196.25,68616940
5/6/25,198.21,200.65,197.02,198.51,51216480
5/5/25,203.10,204.10,198.21,198.89,69018450
5/2/25,206.09,206.99,202.16,205.35,101010600
5/1/25,209.08,214.56,208.90,213.32,57365680
