"Date","Open","High","Low","Close","Volume"
"02/06/2026","3.51","3.62","3.42","3.51","89,122"
"02/05/2026","3.48","3.5599","3.18","3.505","163,837"
"02/04/2026","3.61","3.68","3.28","3.55","80,334"
"02/03/2026","3.85","3.91","3.52","3.56","90,116"
"02/02/2026","3.92","3.99","3.83","3.85","36,271"
"01/30/2026","3.95","4.0695","3.87","3.91","60,928"
"01/29/2026","3.98","4.19","3.92","3.98","50,346"
"01/28/2026","3.94","4.15","3.9","3.97","57,740"
"01/27/2026","4.03","4.0928","3.865","3.92","74,945"
"01/26/2026","4.16","4.1817","4.01","4.02","22,864"
"01/23/2026","4.33","4.36","4.0702","4.14","30,327"
"01/22/2026","4.11","4.44","4.11","4.3","74,188"
"01/21/2026","4","4.2","3.9401","4.09","39,125"
"01/20/2026","3.97","4.0672","3.8301","4","103,144"
"01/16/2026","4.18","4.2","4.02","4.06","22,077"
"01/15/2026","4.12","4.27","4.06","4.18","39,791"
"01/14/2026","4.316","4.32","4.05","4.09","44,256"
"01/13/2026","4.44","4.51","4.24","4.29","63,169"
"01/12/2026","4.35","4.61","4.3","4.44","44,458"
"01/09/2026","4.46","4.5199","4.35","4.37","17,938"
"01/08/2026","4.431","4.66","4.405","4.43","45,573"
"01/07/2026","4.43","4.53","4.25","4.44","33,361"
"01/06/2026","4.45","4.59","4.34","4.38","56,487"
"01/05/2026","4.11","4.44","4.11","4.41","58,402"
"01/02/2026","4.12","4.2199","4.06","4.12","11,686"
"12/31/2025","4.08","4.13","3.96","4.1","50,959"
"12/30/2025","3.97","4.3","3.96","4.07","73,242"
"12/29/2025","3.98","4.08","3.96","4.01","53,312"
"12/26/2025","4.06","4.23","4","4.05","72,955"
"12/24/2025","4.03","4.1","4.02","4.07","24,627"
"12/23/2025","4.03","4.06","3.86","4.04","120,239"
"12/22/2025","3.99","4.25","3.99","4.04","65,755"
"12/19/2025","4.13","4.1899","3.96","3.97","107,823"
"12/18/2025","4.16","4.2","3.995","4.06","104,162"
"12/17/2025","4.33","4.36","4.065","4.07","125,377"
"12/16/2025","4.23","4.3688","4.2","4.24","50,024"
"12/15/2025","4.64","4.6882","4.17","4.25","195,471"
"12/12/2025","4.58","4.76","4.52","4.56","177,546"
"12/11/2025","4.76","4.8899","4.539","4.59","112,178"
"12/10/2025","5.01","5.01","4.6977","4.72","71,296"
"12/09/2025","4.92","5.04","4.84","4.97","71,365"
"12/08/2025","5.13","5.13","4.85","4.92","39,665"
"12/05/2025","5.08","5.1504","4.9501","5","28,488"
"12/04/2025","4.97","5.39","4.96","5.03","105,504"
"12/03/2025","5.1","5.4","4.96","4.99","85,188"
"12/02/2025","5.09","5.09","4.76","5.02","56,470"
"12/01/2025","5.04","5.2","5","5.09","55,649"
"11/28/2025","5.01","5.1994","4.93","5.06","16,078"
"11/26/2025","5.05","5.27","4.9","5","76,056"
"11/25/2025","4.83","5.28","4.83","5.03","74,593"
"11/24/2025","4.57","4.84","4.51","4.84","77,365"
"11/21/2025","4.49","4.81","4.46","4.5","143,646"
"11/20/2025","4.53","4.73","4.38","4.38","94,100"
"11/19/2025","4.81","4.8325","4.38","4.385","65,256"
"11/18/2025","4.78","5.0599","4.53","4.76","125,634"
"11/17/2025","5.06","5.53","4.82","4.89","83,067"
"11/14/2025","5.46","5.53","5","5.05","86,766"
"11/13/2025","6.06","6.06","5.39","5.54","65,136"
"11/12/2025","5.95","6.2199","5.81","5.92","72,839"
"11/11/2025","6.08","6.25","5.92","5.95","77,887"
"11/10/2025","6","6.3","5.9","5.99","115,126"
"11/07/2025","6.74","7.47","5.9109","6","243,223"
"11/06/2025","8.3","8.3","7.58","7.61","55,570"
"11/05/2025","8.19","8.33","7.89","8.29","35,161"
"11/04/2025","8.23","8.5","8.02","8.14","52,497"
"11/03/2025","9","9","8.455","8.6","77,134"
"10/31/2025","9.07","9.2","8.5235","9","132,010"
"10/30/2025","7.5","9.08","7.5","8.39","238,253"
"10/29/2025","7.1","7.9","6.89","7.45","142,500"
"10/28/2025","6.65","7.5","6.56","7.15","87,100"
"10/27/2025","6.79","6.93","6.5933","6.67","24,410"
"10/24/2025","7.13","7.2","6.76","6.78","35,986"
"10/23/2025","6.57","7.09","6.57","7.05","27,740"
"10/22/2025","6.86","6.86","6.45","6.77","58,856"
"10/21/2025","7.1","7.11","6.64","6.83","59,060"
"10/20/2025","7","7.62","6.95","7.1","101,558"
"10/17/2025","6.37","6.9099","6.2","6.9","66,917"
"10/16/2025","6.23","6.4554","6.185","6.26","31,837"
"10/15/2025","6.56","6.6202","5.94","6.32","42,137"
"10/14/2025","6.19","6.57","6.15","6.5","53,943"
"10/13/2025","6.07","6.29","5.9141","6.19","27,409"
"10/10/2025","6.26","6.3156","5.85","5.9","54,358"
"10/09/2025","6.36","6.48","6.17","6.26","31,502"
"10/08/2025","6.13","6.49","6.11","6.39","26,269"
