Date,Close/Last,Volume,Open,High,Low
12/10/2025,$77.88,2328230,$78.41,$79.88,$77.815
12/09/2025,$77.81,2265000,$79.59,$79.99,$77.31
12/08/2025,$80.06,2532833,$80.00,$81.4865,$78.67
12/05/2025,$79.64,1712953,$78.48,$79.815,$77.89
12/04/2025,$78.48,2133047,$77.45,$79.06,$76.53
12/03/2025,$77.69,3100620,$75.55,$79.0699,$74.52
12/02/2025,$75.31,1492966,$75.50,$77.22,$74.97
12/01/2025,$75.80,1687215,$77.06,$77.325,$75.11
11/28/2025,$77.76,850035,$77.68,$77.98,$76.60
11/26/2025,$77.58,1498200,$76.12,$78.1652,$75.65
11/25/2025,$76.32,2051288,$73.66,$76.41,$73.44
11/24/2025,$73.66,2732299,$71.26,$73.98,$71.15
11/21/2025,$70.87,1941864,$70.07,$71.97,$69.5001
11/20/2025,$69.88,2351830,$71.65,$72.72,$69.75
11/19/2025,$70.53,2010250,$70.055,$71.62,$69.85
11/18/2025,$70.58,2626771,$68.97,$70.92,$67.86
11/17/2025,$69.14,2713881,$67.65,$69.505,$67.2739
11/14/2025,$67.75,3958489,$63.84,$69.02,$63.5001
11/13/2025,$64.38,2663515,$65.525,$66.11,$63.9501
11/12/2025,$65.83,2768055,$64.05,$66.00,$63.51
11/11/2025,$64.08,2033174,$62.29,$64.26,$62.29
11/10/2025,$62.73,3523141,$61.74,$63.13,$61.50
11/07/2025,$61.01,2724421,$60.86,$61.40,$58.914
11/06/2025,$61.38,2850554,$59.73,$63.15,$59.40
11/05/2025,$59.34,2396210,$58.53,$60.00,$58.00
11/04/2025,$58.57,2118455,$57.99,$59.68,$57.74
11/03/2025,$59.33,2545209,$58.93,$59.44,$56.66
10/31/2025,$58.84,2378272,$58.96,$59.74,$58.28
10/30/2025,$58.87,2191134,$57.83,$60.08,$57.33
10/29/2025,$58.02,1640887,$58.19,$58.85,$57.225
10/28/2025,$58.17,1915172,$57.86,$58.655,$57.53
10/27/2025,$57.99,3629051,$55.53,$58.62,$55.40
10/24/2025,$54.48,1972685,$54.00,$55.32,$53.665
10/23/2025,$53.44,1867589,$53.15,$54.0799,$52.48
10/22/2025,$52.98,1852672,$53.50,$54.49,$52.62
10/21/2025,$53.49,1605980,$54.76,$55.20,$53.17
10/20/2025,$54.01,2136166,$55.00,$55.28,$53.47
10/17/2025,$54.10,4586607,$52.76,$56.15,$52.40
10/16/2025,$49.68,1774602,$50.00,$51.70,$49.05
10/15/2025,$49.56,2300503,$47.63,$49.83,$47.45
10/14/2025,$47.50,2113834,$48.53,$48.77,$47.50
10/13/2025,$48.75,1455663,$48.24,$48.996,$48.00
10/10/2025,$48.24,2492179,$47.64,$49.10,$47.28
