Date,Open,High,Low,Close,Volume
11/26/25,226.00,228.00,205.40,215.04,43000870
11/25/25,228.40,229.07,209.00,220.50,14680610
11/24/25,206.05,228.18,205.13,226.96,13798900
11/21/25,205.37,205.50,183.00,200.27,20060990
11/20/25,252.17,254.60,192.62,195.96,26590860
11/19/25,251.11,256.98,233.79,245.96,12005840
11/18/25,257.15,260.63,229.11,244.93,16433940
11/17/25,253.40,282.80,253.00,265.88,14211500
11/14/25,236.00,270.49,235.05,254.16,19464400
11/13/25,268.00,271.84,234.13,243.57,23274910
11/12/25,271.58,284.76,267.05,283.10,13730300
11/11/25,262.29,275.87,255.87,271.58,12180910
11/10/25,247.00,270.91,247.00,267.95,15276390
11/7/25,208.42,240.00,203.40,239.48,20552100
11/6/25,212.00,226.50,205.18,207.69,10402680
11/5/25,201.88,218.94,201.87,216.50,10336290
11/4/25,188.14,202.98,185.00,194.57,9800790
11/3/25,210.85,213.40,189.10,207.01,10625960
10/31/25,203.50,209.77,189.58,199.33,6920736
10/30/25,192.02,204.92,191.09,195.82,7341490
10/29/25,186.67,205.64,181.51,204.36,9364983
10/28/25,175.49,178.82,164.56,175.53,9140834
10/27/25,191.50,191.85,173.72,176.49,11235480
10/24/25,174.40,187.36,173.50,186.16,10653060
10/23/25,147.00,167.95,146.00,167.05,9011362
10/22/25,149.10,157.40,144.82,146.95,7516791
10/21/25,145.80,150.16,142.76,149.29,4177936
10/20/25,145.98,152.63,145.50,148.04,6626065
10/17/25,139.22,150.82,136.29,140.16,8279794
10/16/25,146.00,149.09,141.70,144.27,6289641
10/15/25,134.75,144.55,130.50,144.30,8971082
10/14/25,123.59,130.48,120.96,127.29,7078629
10/13/25,129.74,135.91,124.05,134.61,8297339
10/10/25,131.46,132.00,116.17,116.91,7860178
10/9/25,127.00,131.61,126.12,129.68,3561489
10/8/25,121.50,132.28,120.20,131.88,7173357
10/7/25,125.20,125.20,115.68,120.95,6594613
10/6/25,133.60,134.79,119.29,121.17,9963933
10/3/25,128.29,137.05,126.70,128.41,10193750
10/2/25,128.69,132.29,123.26,124.14,9453364
10/1/25,113.06,123.85,112.00,121.12,12237430
9/30/25,114.10,120.74,112.11,112.20,11414840
9/29/25,104.25,114.00,103.35,113.50,12435370
9/26/25,96.00,99.65,94.39,97.12,6418041
9/25/25,96.27,100.45,93.54,94.29,10569290
9/24/25,103.56,107.72,96.63,99.83,12409340
9/23/25,105.00,110.21,104.70,106.40,7834964
9/22/25,105.76,108.80,101.59,102.92,7692187
9/19/25,98.00,102.99,96.71,102.21,6459942
9/18/25,97.30,102.93,96.86,98.87,9441906
9/17/25,90.78,94.81,90.22,93.97,7031001
9/16/25,90.31,93.13,89.56,91.55,6292143
9/15/25,85.30,92.06,85.12,90.09,8981304
9/12/25,85.31,86.96,82.28,86.13,5641707
9/11/25,82.30,85.89,81.38,84.30,10167440
9/10/25,72.42,74.49,72.03,73.92,4053043
9/9/25,70.26,71.40,69.57,70.51,3364273
9/8/25,68.65,71.00,67.86,70.50,5869086
9/5/25,65.52,68.67,63.74,68.55,9050047
9/4/25,55.67,62.65,55.55,62.50,10189010
9/3/25,51.92,53.23,50.65,53.01,1689664
9/2/25,51.01,51.70,50.07,51.07,2023555
8/29/25,51.15,52.94,50.82,52.47,4228360
8/28/25,48.56,51.23,48.56,50.87,2919374
8/27/25,47.40,49.08,47.40,48.44,2145445
8/26/25,46.75,48.21,46.75,47.35,2577847
8/25/25,46.36,46.88,46.01,46.78,1318226
8/22/25,46.11,47.19,45.63,46.37,2208268
8/21/25,43.87,45.60,43.56,45.50,1802283
8/20/25,44.86,45.00,43.20,44.40,1526997
8/19/25,46.23,46.50,44.26,44.58,2372946
8/18/25,44.25,45.87,44.25,45.52,2541739
8/15/25,43.06,46.13,42.82,44.54,7519512
8/14/25,46.43,47.26,46.08,46.68,3549345
