Date,Open,High,Low,Close,Volume
9/17/25,172.64,173.20,168.41,170.29,211843800
9/16/25,177.00,177.50,174.38,174.88,140737800
9/15/25,175.67,178.85,174.51,177.75,147061600
9/12/25,177.77,178.60,176.45,177.82,124911000
9/11/25,179.68,180.28,176.48,177.17,151159300
9/10/25,176.64,179.29,175.47,177.33,226852000
9/9/25,169.09,170.98,166.74,170.76,157548400
9/8/25,167.55,170.96,167.35,168.31,163769100
9/5/25,168.03,169.03,164.07,167.02,224441400
9/4/25,170.57,171.86,169.41,171.66,141670100
9/3/25,171.06,172.41,168.88,170.62,164424900
9/2/25,170.00,172.38,167.22,170.78,231164900
8/29/25,178.11,178.15,173.15,174.18,243257900
8/28/25,180.82,184.47,176.41,180.17,281787800
8/27/25,181.98,182.49,179.10,181.60,235518900
8/26/25,180.06,182.39,178.81,181.77,168688200
8/25/25,178.35,181.91,176.57,179.81,163012800
8/22/25,172.61,178.59,171.20,177.99,172789400
8/21/25,174.85,176.90,173.81,174.98,140040900
8/20/25,175.17,176.00,168.80,175.40,215142700
8/19/25,182.43,182.50,175.49,175.64,185229200
8/18/25,180.60,182.94,180.59,182.01,132008000
8/15/25,181.88,181.90,178.04,180.45,156602200
8/14/25,179.75,183.02,179.46,182.02,129554000
8/13/25,182.62,183.97,179.35,181.59,179871700
8/12/25,182.96,184.48,179.46,183.16,145729200
8/11/25,182.05,183.84,180.25,182.06,138323200
8/8/25,181.55,183.30,180.40,182.70,123396700
8/7/25,181.57,183.88,178.80,180.77,151878400
8/6/25,176.33,179.90,176.25,179.42,137192300
8/5/25,179.62,180.26,175.90,178.26,156407600
8/4/25,175.16,180.20,174.52,180.00,148174600
8/1/25,174.09,176.54,170.89,173.72,204529000
7/31/25,182.90,183.30,175.93,177.87,221685400
7/30/25,176.51,179.89,176.04,179.27,174312200
7/29/25,177.96,179.38,175.02,175.51,154077500
7/28/25,174.02,177.00,173.97,176.75,140023500
7/25/25,173.61,174.72,172.96,173.50,122316800
7/24/25,172.44,173.83,171.30,173.74,128984600
7/23/25,169.53,171.26,167.97,170.78,154082200
7/22/25,171.34,171.39,164.58,167.03,193114300
7/21/25,172.75,173.38,171.00,171.38,123126100
7/18/25,173.64,174.25,171.26,172.41,146456400
7/17/25,172.02,174.16,170.83,173.00,160841100
7/16/25,171.06,171.75,168.90,171.37,158831500
7/15/25,171.19,172.40,169.20,170.70,230627400
7/14/25,165.37,165.49,162.02,164.07,136975800
7/11/25,163.72,167.89,163.47,164.92,193633300
7/10/25,164.32,164.50,161.61,164.10,167704100
7/9/25,161.22,164.42,161.16,162.88,183656400
7/8/25,159.33,160.22,158.39,160.00,138133000
7/7/25,158.20,159.31,157.34,158.24,140139000
7/3/25,158.37,160.98,157.77,159.34,143716100
7/2/25,152.98,157.60,152.97,157.25,171224100
7/1/25,156.29,157.20,151.49,153.30,213143600
6/30/25,158.40,158.66,155.96,157.99,194580300
6/27/25,156.04,158.71,155.26,157.75,263234500
6/26/25,155.98,156.72,154.00,155.02,198145700
6/25/25,149.27,154.45,149.26,154.31,269146500
6/24/25,145.56,147.96,145.50,147.90,187566100
6/23/25,142.50,144.78,142.03,144.17,154308900
6/20/25,145.45,146.20,142.65,143.85,242956200
6/18/25,144.01,145.65,143.12,145.48,161494100
6/17/25,144.49,145.22,143.78,144.12,139108000
6/16/25,143.35,146.18,143.20,144.69,183133700
6/13/25,142.48,143.58,140.86,141.97,180820600
6/12/25,141.97,145.00,141.85,145.00,162365000
6/11/25,144.61,144.99,141.87,142.83,167694000
6/10/25,142.69,144.29,141.53,143.96,155881900
6/9/25,143.19,145.00,141.94,142.63,185114500
6/6/25,142.51,143.27,141.51,141.72,153986200
6/5/25,142.17,144.00,138.83,139.99,232410800
6/4/25,142.19,142.39,139.55,141.92,167120800
6/3/25,138.78,142.00,137.95,141.22,225578800
6/2/25,135.49,138.12,135.40,137.38,197663100
5/30/25,138.72,139.62,132.92,135.13,333170900
5/29/25,142.25,143.49,137.91,139.19,370615200
5/28/25,136.03,137.25,134.79,134.81,304021100
5/27/25,134.15,135.66,133.31,135.50,192953600
5/23/25,130.00,132.68,129.16,131.29,198821300
5/22/25,132.23,134.25,131.55,132.83,187344000
5/21/25,133.06,137.40,130.59,131.80,270608700
5/20/25,134.29,134.58,132.62,134.38,161514200
5/19/25,132.39,135.87,132.39,135.57,193154600
5/16/25,136.22,136.35,133.46,135.40,226542500
5/15/25,134.30,136.30,132.66,134.83,226632600
5/14/25,133.20,135.44,131.68,135.34,281180800
5/13/25,124.98,131.22,124.47,129.93,330430100
5/12/25,121.97,123.00,120.28,123.00,225023300
5/9/25,117.35,118.23,115.21,116.65,132972200
5/8/25,118.25,118.68,115.85,117.37,198428100
5/7/25,113.05,117.68,112.28,117.06,207827800
5/6/25,111.48,114.74,110.82,113.54,158525600
5/5/25,112.91,114.67,112.66,113.82,133163200
5/2/25,114.18,115.40,113.37,114.50,190194800
5/1/25,113.08,114.94,111.30,111.61,236121500
