Date,Close/Last,Volume,Open,High,Low
02/03/2026,$115.76,15625110,$108.00,$116.68,$105.70
02/02/2026,$104.55,12921830,$109.89,$110.67,$104.06
01/30/2026,$111.21,19691770,$120.74,$129.89,$108.67
01/29/2026,$122.09,13282210,$122.395,$123.5965,$113.35
01/28/2026,$121.23,18458210,$113.525,$124.32,$111.60
01/27/2026,$111.34,10650730,$106.28,$112.23,$103.27
01/26/2026,$104.78,11810390,$112.55,$113.00,$103.75
01/23/2026,$113.57,11544700,$115.53,$119.00,$111.25
01/22/2026,$116.37,19503080,$109.68,$120.09,$105.80
01/21/2026,$103.50,25915520,$116.60,$120.93,$96.93
01/20/2026,$112.44,18437740,$113.10,$119.89,$111.03
01/16/2026,$115.77,33680240,$107.26,$120.80,$106.30
01/15/2026,$101.25,17604550,$94.61,$104.80,$92.05
01/14/2026,$95.22,11702610,$91.335,$95.45,$88.75
01/13/2026,$92.72,11662550,$96.74,$98.28,$91.63
01/12/2026,$98.39,13268950,$95.44,$101.29,$93.51
01/09/2026,$97.67,24430350,$90.30,$101.675,$90.15
01/08/2026,$90.56,14773590,$88.625,$93.99,$86.8501
01/07/2026,$85.73,24433800,$91.05,$95.3399,$83.91
01/06/2026,$97.49,18215470,$90.90,$97.94,$90.19
01/05/2026,$90.92,20610010,$82.03,$92.45,$80.88
01/02/2026,$83.47,19106740,$74.34,$83.76,$69.25
12/31/2025,$72.63,10438020,$75.005,$75.50,$71.61
12/30/2025,$74.68,17385300,$72.36,$78.35,$72.04
12/29/2025,$71.47,14202040,$70.64,$74.89,$69.69
12/26/2025,$71.95,19573170,$77.00,$77.40,$71.03
12/24/2025,$78.05,26238160,$89.95,$92.95,$77.65
12/23/2025,$85.67,18077390,$82.23,$87.75,$81.98
12/22/2025,$86.48,18741390,$79.66,$87.03,$77.92
12/19/2025,$75.84,20293430,$67.725,$76.4422,$67.32
12/18/2025,$65.93,12951450,$65.20,$67.68,$64.01
12/17/2025,$61.86,12569060,$70.02,$70.39,$61.40
12/16/2025,$68.37,10994160,$65.605,$68.88,$65.25
12/15/2025,$67.81,16392580,$77.24,$77.69,$67.525
12/12/2025,$76.70,19675440,$83.02,$84.61,$74.51
12/11/2025,$84.75,14746400,$78.325,$85.45,$76.7433
12/10/2025,$79.05,14564270,$72.75,$80.29,$70.90
12/09/2025,$72.84,11159000,$73.28,$74.75,$69.82
12/08/2025,$74.00,11465010,$74.99,$76.79,$70.7513
12/05/2025,$73.92,13620150,$71.40,$75.14,$70.60
12/04/2025,$72.65,24714900,$62.22,$73.85,$61.55
12/03/2025,$61.44,12026550,$57.58,$61.8799,$56.15
12/02/2025,$56.89,8894222,$53.215,$57.86,$53.08
12/01/2025,$52.61,6791027,$54.35,$54.39,$52.20
11/28/2025,$56.20,4225695,$56.67,$57.8099,$55.80
11/26/2025,$55.52,5989775,$56.405,$57.48,$55.51
11/25/2025,$55.51,10159480,$55.235,$56.00,$52.32
11/24/2025,$55.00,10180070,$53.00,$55.488,$51.50
11/21/2025,$51.37,13380410,$53.005,$53.71,$49.31
11/20/2025,$50.70,13503900,$61.38,$61.60,$50.30
11/19/2025,$58.01,11245950,$58.91,$61.75,$57.48
11/18/2025,$58.22,9242644,$55.91,$59.3999,$54.67
11/17/2025,$56.60,9462473,$60.56,$61.98,$56.16
11/14/2025,$61.40,10028310,$58.66,$64.8399,$57.92
11/13/2025,$61.44,9721656,$64.045,$65.30,$59.8703
11/12/2025,$64.49,9075090,$68.195,$70.675,$64.40
11/11/2025,$67.89,12464900,$67.87,$71.50,$66.86
11/10/2025,$68.70,9248785,$71.31,$72.36,$67.00
11/07/2025,$69.19,9078566,$64.205,$69.99,$61.89
11/06/2025,$65.28,7899934,$68.815,$70.20,$65.04
11/05/2025,$70.38,5786205,$69.77,$71.805,$68.07
11/04/2025,$70.05,8470706,$67.81,$71.95,$67.10
11/03/2025,$71.145,11835910,$80.36,$80.36,$71.00
10/31/2025,$80.25,7889660,$77.85,$80.93,$77.63
10/30/2025,$76.68,9093239,$78.23,$80.48,$74.50
10/29/2025,$80.06,14772470,$83.31,$84.00,$77.0118
10/28/2025,$77.77,9350941,$80.59,$81.29,$76.45
10/27/2025,$79.45,11419350,$76.00,$79.85,$74.50
10/24/2025,$73.70,9278012,$74.00,$74.26,$72.32
10/23/2025,$71.72,13561250,$71.875,$74.26,$70.805
10/22/2025,$71.35,27581540,$72.05,$72.70,$66.671
10/21/2025,$78.61,9343784,$81.50,$82.4676,$76.33
10/20/2025,$82.81,9307547,$86.425,$89.64,$81.70
10/17/2025,$83.49,14344690,$83.37,$87.50,$80.85
10/16/2025,$89.50,17129860,$95.00,$102.79,$88.93
10/15/2025,$95.69,14439820,$98.79,$99.82,$93.14
10/14/2025,$94.50,17398230,$88.695,$99.13,$85.30
10/13/2025,$90.50,13193730,$86.65,$92.07,$83.00
10/10/2025,$82.03,19061560,$89.80,$90.65,$81.93
10/09/2025,$86.79,19481140,$80.705,$88.6786,$80.61
10/08/2025,$81.20,43321710,$84.81,$91.4137,$79.82
10/07/2025,$74.75,18223690,$67.41,$76.00,$67.28
10/06/2025,$72.90,16422990,$69.165,$74.77,$68.70
10/03/2025,$67.76,16702100,$65.66,$68.80,$64.10
10/02/2025,$66.16,30170760,$58.53,$66.83,$57.41
10/01/2025,$56.94,20062030,$53.51,$57.195,$50.82
09/30/2025,$49.08,7575630,$48.57,$49.72,$47.50
09/29/2025,$48.84,9966819,$49.96,$52.38,$47.82
09/26/2025,$49.09,8196313,$50.21,$51.48,$48.11
09/25/2025,$49.39,11994290,$51.65,$51.9799,$48.02
09/24/2025,$54.50,11419150,$54.98,$56.73,$53.111
09/23/2025,$54.80,25744700,$48.895,$56.39,$48.61
09/22/2025,$48.85,13639030,$46.765,$48.93,$45.22
09/19/2025,$45.10,20744960,$41.98,$46.08,$41.87
09/18/2025,$41.44,9240215,$41.93,$42.1699,$40.15
09/17/2025,$41.19,8383501,$40.28,$41.97,$39.50
09/16/2025,$40.43,8576128,$41.00,$41.6056,$39.88
09/15/2025,$40.97,10141310,$40.27,$41.51,$39.85
09/12/2025,$38.72,7606551,$38.59,$39.21,$37.73
09/11/2025,$38.37,7983457,$37.71,$39.05,$37.18
09/10/2025,$37.58,9110316,$38.10,$38.10,$36.94
09/09/2025,$36.91,22533590,$39.59,$39.67,$36.08
09/08/2025,$40.77,20363970,$36.912,$40.94,$36.50
09/05/2025,$42.41,7066799,$42.57,$43.12,$41.65
09/04/2025,$41.86,14376240,$45.40,$45.72,$41.05
09/03/2025,$45.22,6279304,$49.07,$49.3999,$45.19
09/02/2025,$48.76,6716201,$48.17,$50.44,$47.1015
08/29/2025,$48.94,5184326,$48.575,$49.06,$46.76
08/28/2025,$48.95,4547088,$48.57,$49.39,$47.1413
08/27/2025,$48.25,6266763,$50.50,$50.66,$48.19
08/26/2025,$50.43,8474699,$51.125,$53.20,$50.13
08/25/2025,$50.01,10504480,$47.84,$51.32,$47.18
08/22/2025,$47.07,6555596,$44.93,$47.47,$44.19
08/21/2025,$44.98,3531125,$44.33,$45.165,$43.61
08/20/2025,$45.08,7116713,$44.25,$45.25,$42.00
08/19/2025,$44.95,8959952,$47.735,$48.399,$44.88
08/18/2025,$48.16,9732799,$48.24,$50.50,$47.40
08/15/2025,$48.08,4503064,$48.92,$48.98,$47.53
08/14/2025,$48.50,11624410,$50.32,$51.95,$47.50
08/13/2025,$50.05,9534595,$50.495,$50.65,$47.12
08/12/2025,$49.76,21569050,$51.235,$55.50,$49.50
08/11/2025,$45.92,9531517,$46.25,$47.81,$45.46
08/08/2025,$46.63,7173173,$48.00,$48.88,$46.30
08/07/2025,$47.71,11892560,$52.03,$52.12,$47.1737
08/06/2025,$51.79,6366458,$54.14,$54.96,$51.4001
08/05/2025,$52.57,6287597,$51.705,$52.80,$49.93
08/04/2025,$51.38,9022111,$51.23,$52.7499,$49.91
08/01/2025,$52.46,9130733,$50.90,$54.58,$49.72
07/31/2025,$53.17,6626180,$54.49,$55.47,$52.93
07/30/2025,$54.29,7964489,$53.60,$55.78,$53.2317
07/29/2025,$53.09,8490940,$53.92,$54.04,$51.30
07/28/2025,$54.22,8080346,$55.04,$55.5714,$53.50
07/25/2025,$54.335,25294540,$56.25,$56.80,$53.0302
07/24/2025,$60.06,9373505,$58.92,$60.5399,$57.78
07/23/2025,$58.92,9828313,$58.14,$60.28,$56.21
07/22/2025,$57.09,13718480,$55.68,$57.56,$51.2104
07/21/2025,$56.67,12415670,$59.74,$60.95,$56.36
07/18/2025,$57.98,7966434,$56.065,$58.08,$55.21
07/17/2025,$57.45,15791620,$52.71,$58.03,$52.60
07/16/2025,$52.63,10434630,$51.68,$52.688,$49.53
07/15/2025,$51.12,13926980,$48.29,$51.44,$47.20
07/14/2025,$47.86,12149420,$45.335,$48.69,$44.35
07/11/2025,$45.58,13402110,$43.48,$47.72,$43.31
07/10/2025,$43.97,8656280,$43.28,$45.35,$42.7606
07/09/2025,$42.50,10495020,$45.535,$45.63,$42.44
07/08/2025,$45.46,8476321,$46.06,$47.34,$44.7306
07/07/2025,$45.69,8221661,$46.15,$46.9299,$44.03
07/03/2025,$45.60,6101742,$47.40,$48.32,$45.28
07/02/2025,$45.71,8698035,$45.17,$46.07,$43.86
07/01/2025,$45.11,8324749,$46.50,$46.67,$44.3636
06/30/2025,$46.73,13635280,$50.20,$50.38,$46.20
06/27/2025,$49.36,31720810,$51.81,$53.35,$49.25
06/26/2025,$50.62,14220040,$50.87,$53.38,$49.68
06/25/2025,$49.97,23977640,$50.50,$52.849,$48.7603
06/24/2025,$53.22,20033600,$50.43,$54.0499,$49.22
06/23/2025,$50.20,21470890,$43.745,$50.41,$43.02
06/20/2025,$45.94,23527860,$45.65,$48.94,$45.15
06/18/2025,$44.35,21257490,$41.31,$44.71,$40.89
06/17/2025,$40.10,12867280,$40.71,$41.60,$38.82
06/16/2025,$41.91,17820810,$39.26,$42.93,$38.76
06/13/2025,$38.37,22908900,$36.24,$41.1317,$36.20
06/12/2025,$36.92,9926925,$35.955,$37.7399,$35.815
06/11/2025,$36.47,12905860,$35.72,$36.98,$35.33
06/10/2025,$35.71,21288660,$35.18,$36.30,$34.21
06/09/2025,$34.82,34436360,$32.28,$36.66,$32.25
06/06/2025,$31.19,14295520,$31.01,$31.27,$29.78
06/05/2025,$30.85,29927250,$28.05,$31.24,$27.7202
06/04/2025,$28.69,32676880,$25.795,$29.0899,$25.4001
06/03/2025,$25.18,10494300,$24.33,$25.565,$23.80
06/02/2025,$24.15,7858891,$22.975,$24.17,$22.7202
05/30/2025,$23.07,9399248,$23.39,$23.40,$22.47
05/29/2025,$23.57,9758337,$25.11,$25.44,$23.52
05/28/2025,$24.78,7740738,$25.01,$25.18,$24.34
05/27/2025,$24.84,11517120,$24.73,$25.6708,$24.50
05/23/2025,$24.095,6939240,$24.15,$24.53,$23.65
05/22/2025,$24.41,8339812,$24.07,$24.84,$23.70
05/21/2025,$23.83,10886510,$24.80,$25.236,$23.56
05/20/2025,$25.03,13747040,$24.64,$26.05,$24.17
05/19/2025,$24.61,17496680,$25.675,$25.86,$24.0701
05/16/2025,$26.66,15837260,$27.00,$27.97,$25.74
05/15/2025,$26.24,11660700,$26.14,$27.32,$25.56
05/14/2025,$26.25,14028840,$26.99,$28.45,$26.03
05/13/2025,$26.55,19634770,$25.895,$29.05,$25.71
05/12/2025,$27.16,14764350,$27.17,$27.45,$26.13
05/09/2025,$25.76,7707288,$25.51,$25.91,$24.96
05/08/2025,$25.25,6894118,$25.895,$25.94,$24.90
05/07/2025,$25.32,6155904,$25.385,$25.98,$24.96
05/06/2025,$25.08,6889477,$24.205,$25.3371,$23.7673
05/05/2025,$24.75,10944490,$25.915,$26.3597,$24.60
05/02/2025,$26.42,19988990,$24.345,$27.57,$24.33
05/01/2025,$23.02,4439614,$23.81,$23.85,$22.83
