Date,Close/Last,Volume,Open,High,Low
03/03/2026,$694.43,7208705,$727.05,$732.00,$681.10
03/02/2026,$783.25,6888660,$742.895,$783.80,$714.00
02/27/2026,$700.91,8912170,$679.95,$720.0999,$672.01
02/26/2026,$677.00,5468045,$717.285,$728.20,$662.00
02/25/2026,$723.39,4667742,$713.71,$765.00,$712.7301
02/24/2026,$688.27,3573393,$680.01,$698.50,$662.00
02/23/2026,$674.73,4492980,$664.05,$688.07,$652.21
02/20/2026,$667.77,4289469,$638.00,$678.00,$636.00
02/19/2026,$635.64,4206198,$592.565,$636.68,$578.30
02/18/2026,$594.26,2995103,$602.09,$610.30,$587.00
02/17/2026,$600.42,5625048,$538.00,$616.52,$528.01
02/13/2026,$562.74,4973044,$581.54,$593.40,$539.18
02/12/2026,$583.46,4605731,$593.35,$603.83,$568.20
02/11/2026,$574.11,4011219,$563.245,$597.00,$545.88
02/10/2026,$561.13,4787725,$548.22,$574.69,$530.2901
02/09/2026,$577.15,5903753,$556.72,$599.50,$555.35
02/06/2026,$551.99,6735517,$540.00,$558.38,$513.28
02/05/2026,$504.42,8673040,$436.22,$507.55,$425.01
02/04/2026,$465.54,12144860,$473.12,$504.58,$426.05
02/03/2026,$435.10,8109436,$451.74,$464.00,$424.52
02/02/2026,$423.42,5799104,$405.49,$445.00,$404.99
01/30/2026,$391.84,7098764,$406.25,$448.00,$384.33
01/29/2026,$381.44,4006603,$388.00,$398.16,$364.19
01/28/2026,$385.00,4356802,$375.915,$394.88,$373.57
01/27/2026,$370.66,3618616,$341.87,$373.9999,$340.00
01/26/2026,$332.45,2726812,$337.75,$350.68,$327.29
01/23/2026,$339.19,3469371,$354.49,$354.9675,$334.00
01/22/2026,$354.49,4465606,$375.865,$391.46,$350.00
01/21/2026,$362.44,4969377,$373.60,$376.54,$350.01
01/20/2026,$356.83,5318035,$323.825,$357.66,$320.31
01/16/2026,$324.25,3780692,$348.58,$354.00,$317.44
01/15/2026,$343.27,3651709,$334.865,$354.50,$329.00
01/14/2026,$331.62,3664973,$354.15,$357.00,$327.38
01/13/2026,$361.33,3834508,$336.935,$364.505,$333.34
01/12/2026,$339.87,5803944,$340.36,$343.80,$322.69
01/09/2026,$351.42,5914381,$334.302,$362.72,$333.01
01/08/2026,$348.26,5137293,$394.30,$395.04,$343.00
01/07/2026,$392.88,4716306,$378.02,$402.7949,$365.47
01/06/2026,$397.42,5619673,$355.675,$399.7199,$339.0205
01/05/2026,$357.05,5787797,$388.34,$393.00,$344.67
01/02/2026,$386.11,2819252,$379.38,$392.00,$375.00
12/31/2025,$368.59,1595048,$372.99,$379.50,$367.1201
12/30/2025,$371.18,1610100,$373.97,$380.32,$370.00
12/29/2025,$372.61,2965726,$377.51,$387.105,$364.02
12/26/2025,$390.77,1585282,$397.73,$400.89,$384.63
12/24/2025,$395.92,1522387,$387.75,$401.60,$385.20
12/23/2025,$387.41,1626959,$380.96,$390.41,$380.91
12/22/2025,$389.88,3125468,$382.65,$391.20,$375.15
12/19/2025,$371.43,4410196,$339.07,$373.34,$339.03
12/18/2025,$337.13,3966426,$336.40,$343.65,$326.05
12/17/2025,$320.25,4164181,$337.91,$337.91,$315.00
12/16/2025,$316.15,4921012,$326.01,$331.44,$309.07
12/15/2025,$334.69,4708487,$341.475,$348.75,$333.03
12/12/2025,$324.35,6869102,$362.56,$365.88,$319.29
12/11/2025,$372.09,3393952,$365.19,$374.97,$348.01
12/10/2025,$366.00,5333105,$353.82,$376.53,$353.66
12/09/2025,$360.33,4494280,$342.72,$362.43,$335.51
12/08/2025,$342.56,3269700,$343.60,$345.72,$328.554
12/05/2025,$331.41,3542575,$340.96,$344.00,$325.68
12/04/2025,$327.85,4444528,$309.53,$330.30,$306.00
12/03/2025,$302.98,3207388,$306.97,$306.97,$288.50
12/02/2025,$302.81,5794704,$320.78,$323.50,$292.9001
12/01/2025,$317.93,4932874,$314.99,$322.00,$306.1601
11/28/2025,$325.16,2194027,$307.74,$325.46,$306.02
11/26/2025,$308.28,4184466,$289.76,$312.99,$279.06
11/25/2025,$291.27,6371886,$293.28,$295.9226,$280.63
11/24/2025,$299.36,7586237,$267.20,$300.00,$266.005
